timestamp,accX,accY,accZ
605380,688,142,-17017
605384,597,-283,-17337
605388,546,-418,-15296
605392,388,355,-16907
605396,571,-275,-15757
605400,481,-65,-17547
605404,699,145,-17101
605408,275,0,-15726
605412,30,415,-17301
605416,259,9,-16629
605420,438,-61,-17095
605424,5,299,-16986
605427,76,258,-15979
605431,522,14,-16302
605435,435,121,-17064
605439,617,-618,-15246
605443,-176,407,-16593
605447,326,-172,-16137
605452,151,-260,-16315
605456,424,154,-15439
605460,328,89,-17325
605464,285,-164,-16058
605468,-133,246,-17702
605472,835,-168,-15711
605476,309,216,-16784
605480,609,507,-17097
605484,466,391,-15664
605488,818,-7,-17610
605492,40,243,-15116
605496,221,231,-16621
605500,211,87,-16484
605504,306,-24,-15809
605508,120,-172,-15561
605512,447,100,-16214
605516,192,-40,-17381
605520,290,-306,-16240
605524,395,312,-16378
605528,149,-258,-16954
605532,401,-234,-16324
605536,24,209,-16724
605540,135,-277,-15875
605544,436,610,-17133
605548,408,68,-15543
605552,460,147,-16362
605556,370,269,-17008
605560,402,-105,-15481
605564,814,502,-17127
605568,554,79,-16142
605572,560,439,-15633
605576,94,-130,-16179
605580,455,-221,-16836
605584,772,-60,-15740
605588,578,-58,-16542
605592,116,-207,-16438
605596,-113,470,-16752
605600,-29,-74,-16380
605604,558,-98,-16764
605608,291,267,-16815
605612,-380,217,-15429
605616,-35,156,-17337
605620,336,230,-15833
605624,637,124,-17116
605628,-146,-8,-15908
605632,-37,33,-17435
605636,690,171,-15763
605640,989,-210,-16261
605644,732,-11,-17034
605648,488,-201,-15253
605652,391,-227,-16243
605656,831,-201,-17847
605661,748,-198,-14377
605665,542,-66,-16947
605669,148,165,-16253
605673,293,-108,-14721
605677,440,64,-17366
605681,491,-200,-16258
605685,-23,311,-15760
605689,146,235,-17012
605693,35,-467,-15633
605697,747,389,-16142
605701,-119,277,-16061
605705,-348,-315,-16898
605709,394,166,-15392
605713,607,-235,-17145
605717,352,163,-16896
605721,33,3,-15525
605725,175,-260,-17151
605729,700,338,-16716
605733,792,181,-16030
605737,250,-28,-16609
605741,414,-167,-16272
605745,744,203,-16595
605749,834,91,-15665
605753,120,290,-16829
605757,292,-14,-16445
605761,101,78,-15869
605765,631,-19,-16801
605769,186,-207,-16844
605773,486,77,-16716
605777,-115,266,-16217
605781,488,-130,-17005
605785,346,61,-16430
605789,281,-125,-16633
605793,227,295,-17112
605797,360,-32,-16157
605801,533,-172,-16651
605805,422,298,-16260
605809,458,61,-16748
605813,492,128,-16503
605817,439,84,-15997
605821,538,112,-17222
605825,442,61,-15589
605829,520,7,-16843
605833,380,5,-16616
605837,58,91,-16619
605840,644,-178,-16416
605844,565,74,-16563
605848,354,-168,-16707
605852,64,38,-15106
605856,96,-107,-17784
605860,499,-261,-15523
605864,479,-82,-15698
605868,180,177,-16833
605872,14,145,-15779
605876,92,68,-16684
605880,523,195,-16251
605884,340,-20,-15975
605888,39,-169,-16269
605892,314,108,-16144
605896,425,-156,-16148
605900,613,392,-16854
605904,413,-220,-15997
605908,238,115,-16660
605912,430,2,-16267
605916,301,-124,-17387
605920,507,59,-15559
605924,127,34,-15538
605928,-62,-330,-17168
605932,494,-116,-15851
605936,496,30,-16423
605940,111,61,-16725
605944,357,-280,-16077
605948,295,470,-15625
605952,208,200,-16930
605956,454,108,-16424
605960,295,1,-15226
605964,174,-112,-17923
605968,233,277,-16436
605972,433,71,-16592
605976,516,-360,-16372
605980,9,240,-15549
605984,484,-39,-16665
605988,401,122,-17664
605992,429,40,-14827
605996,240,52,-17626
606000,227,-55,-16873
