timestamp,accX,accY,accZ
485209,293,5,-16386
485213,256,-26,-16386
485217,240,-1,-16494
485220,228,-14,-16489
485224,229,-49,-16365
485228,222,-30,-16538
485232,486,-50,-16424
485236,254,-56,-16462
485240,343,-46,-16588
485244,340,-61,-16339
485248,389,-54,-16522
485252,463,-91,-16508
485256,468,-32,-16377
485260,449,-24,-16488
485264,516,-52,-16431
485268,521,-60,-16387
485272,483,42,-16458
485276,507,-5,-16365
485280,414,41,-16540
485284,495,27,-16307
485288,355,2,-16647
485292,332,15,-16423
485296,298,-1,-16551
485300,259,-21,-16366
485304,252,-25,-16338
485308,242,-65,-16506
485312,207,-68,-16425
485316,223,-60,-16454
485320,302,-89,-16402
485324,336,-132,-16535
485328,344,-117,-16362
485332,385,-61,-16561
485336,440,-8,-16586
485340,541,53,-16378
485344,548,31,-16524
485348,543,82,-16464
485352,570,36,-16370
485356,612,1,-16464
485359,546,-23,-16496
485363,472,-23,-16436
485367,357,-74,-16363
485371,358,-86,-16627
485375,290,-157,-16430
485380,285,-106,-16478
485384,164,-84,-16393
485388,161,-115,-16406
485392,239,21,-16362
485396,203,-61,-16553
485400,206,27,-16306
485404,193,8,-16507
485407,233,21,-16509
485411,298,255,-16401
485415,398,57,-16473
485419,401,47,-16424
485423,440,69,-16448
485427,506,-48,-16437
485431,526,-32,-16516
485435,583,15,-16352
485439,557,-115,-16589
485443,534,-114,-16252
485447,546,-67,-16588
485451,571,-57,-16292
485455,422,-87,-16589
485459,335,-14,-16575
485463,347,-58,-16335
485467,348,11,-16511
485471,253,-5,-16357
485475,205,4,-16408
485479,238,14,-16460
485483,245,-48,-16393
485487,207,-38,-16489
485491,239,-42,-16471
485495,244,-76,-16476
485499,303,-33,-16460
485503,340,-72,-16469
485507,373,-45,-16377
485511,435,-62,-16529
485515,516,-17,-16334
485519,477,-52,-16533
485523,491,9,-16591
485527,573,13,-16232
485531,557,19,-16415
485535,524,-42,-16514
485539,553,37,-16374
485543,515,-24,-16557
485547,395,15,-16370
485551,396,-4,-16424
485555,405,-43,-16495
485559,309,-44,-16386
485563,267,-70,-16455
485567,283,-58,-16383
485571,195,-90,-16517
485575,263,-86,-16495
485579,238,-75,-16388
485583,280,-73,-16510
485587,250,-5,-16382
485590,406,-50,-16446
485594,360,2,-16457
485598,444,28,-16403
485602,454,42,-16289
485606,496,56,-16569
485610,508,-8,-16175
485614,494,-1,-16473
485618,493,3,-16491
485622,765,-53,-16419
485626,481,-64,-16485
485630,467,-35,-16431
485634,474,-41,-16260
485638,379,-81,-16583
485642,332,-32,-16332
485646,316,-32,-16530
485650,314,-48,-16367
485654,222,-43,-16432
485658,244,-56,-16480
485662,284,-26,-16368
485666,276,-11,-16592
485670,303,-40,-16332
485674,307,29,-16406
485678,325,53,-16416
485682,339,27,-16492
485685,339,8,-16313
485689,404,-65,-16621
485693,455,-29,-16425
485697,451,2,-16458
485701,442,-68,-16462
485705,426,-74,-16411
485709,467,-87,-16537
485713,487,-68,-16516
485717,442,-86,-16396
485721,442,-96,-16463
485725,493,-71,-16414
485729,453,0,-16428
485733,331,-41,-16519
485737,308,29,-16383
485741,326,25,-16444
485745,320,52,-16462
485749,263,27,-16469
485753,251,22,-16407
485757,253,44,-16509
485760,272,-76,-16386
485764,257,-112,-16468
485769,274,-133,-16419
485773,358,-163,-16494
485777,349,-132,-16427
485781,371,-113,-16563
485785,448,-149,-16316
485789,485,-33,-16485
485793,539,16,-16444
485797,492,-9,-16312
485801,560,52,-16530
485805,454,63,-16393
485809,494,43,-16570
485813,466,110,-16334
485817,405,42,-16401
485820,410,4,-16538
485824,340,-41,-16342
485828,351,-30,-16405
485832,303,-86,-16482
485836,230,-128,-16316
485840,190,-142,-16529
485845,299,-140,-16377
485849,243,-93,-16416
485853,279,-25,-16490
485857,317,-32,-16417
485861,351,27,-16402
485865,356,31,-16493
485869,481,12,-16372
485873,485,32,-16478
485876,424,70,-16520
485880,581,26,-16435
485884,546,-231,-16480
485888,538,15,-16498
485892,501,1,-16443
485896,468,-27,-16446
485900,463,-46,-16524
485904,428,-104,-16409
485908,363,-57,-16480
485912,280,-104,-16485
485916,273,-133,-16425
485920,124,36,-16462
485924,226,-40,-16411
485928,190,-44,-16436
485932,192,-57,-16449
485936,233,-11,-16382
485940,324,-20,-16517
485944,393,20,-16454
485948,391,8,-16397
485952,470,43,-16463
485956,501,-24,-16455
485960,520,-47,-16444
485964,519,-8,-16363
485968,535,-27,-16561
485972,514,-56,-16426
485976,508,-31,-16490
485980,490,-44,-16474
485984,421,-82,-16385
485988,347,-51,-16514
485992,378,-45,-16396
485996,308,-30,-16429
486000,297,-44,-16485
486004,224,-55,-16425
486008,251,28,-16437
486012,256,-22,-16442
486016,266,-3,-16474
486020,294,-22,-16376
486024,294,-9,-16558
486028,275,13,-16518
486032,369,-23,-16351
486036,407,-18,-16473
486040,414,-33,-16394
486044,429,-69,-16479
486048,504,-29,-16369
486052,561,-80,-16532
486056,495,-34,-16357
486060,543,-78,-16508
486064,568,-70,-16449
486068,528,-80,-16484
486072,535,-93,-16343
486076,484,-14,-16539
486080,404,-33,-16362
486084,384,15,-16548
486088,328,13,-16472
486092,285,54,-16439
486096,192,35,-16470
486099,508,43,-16492
486103,212,12,-16307
486107,208,-16,-16538
486111,207,-46,-16405
486115,313,-55,-16457
486119,306,-167,-16590
486123,328,-127,-16319
486127,408,-108,-16542
486132,426,-167,-16450
486136,433,-82,-16355
486140,471,-65,-16577
486144,466,-62,-16503
486148,543,23,-16351
486152,497,11,-16466
486156,515,24,-16540
486159,489,70,-16352
486163,483,65,-16388
486167,402,17,-16494
486171,400,41,-16431
486175,407,16,-16400
486179,316,19,-16571
486183,311,-25,-16513
486187,320,-72,-16379
486191,236,-102,-16632
486195,308,-131,-16277
486199,307,-151,-16504
486203,289,-104,-16520
486207,328,-98,-16419
486211,334,-81,-16428
486215,379,-64,-16534
486219,385,-46,-16371
486223,413,9,-16422
486227,428,16,-16381
486231,506,8,-16393
486235,475,59,-16466
486239,526,13,-16475
486243,511,41,-16275
486247,526,22,-16632
486251,484,-9,-16228
486254,463,-22,-16418
486258,418,-30,-16520
486262,420,-77,-16289
486266,410,-75,-16545
486270,298,-48,-16403
486274,318,-116,-16211
486279,284,-55,-16639
486282,257,-114,-16344
486287,229,-34,-16431
486291,265,-33,-16464
486295,318,-49,-16463
486299,295,40,-16415
486303,344,26,-16437
486306,397,30,-16500
486310,428,-12,-16404
486314,438,5,-16336
486318,434,-76,-16585
486322,483,-61,-16337
486326,453,-79,-16300
486330,507,-73,-16627
486334,441,-59,-16275
486338,464,-11,-16247
486342,391,-31,-16658
486346,380,-13,-16178
486350,418,27,-16369
486354,250,-36,-16568
486358,320,-24,-16336
486362,274,9,-16552
486366,311,16,-16464
486370,329,5,-16182
486374,293,30,-16705
486378,280,-84,-16512
486382,407,-80,-16413
486386,427,-51,-16478
486390,465,-117,-16353
486394,386,-79,-16502
486398,452,-31,-16413
486402,502,-66,-16464
486406,465,-29,-16468
486410,429,39,-16383
486414,451,-10,-16423
486418,435,16,-16456
486422,431,-31,-16446
486426,383,33,-16453
486430,268,32,-16630
486434,309,1,-16334
486437,380,-8,-16499
486441,357,-25,-16472
486445,269,-102,-16326
486449,278,-20,-16465
486453,307,-151,-16405
486458,300,-115,-16531
486462,301,-110,-16543
486466,370,-72,-16270
486470,335,-55,-16613
486474,382,-77,-16426
486478,473,-62,-16473
486482,433,-68,-16606
486486,393,-78,-16290
486490,463,-60,-16606
486494,548,36,-16604
486498,535,3,-16302
486502,483,30,-16626
486506,431,45,-16334
486509,408,40,-16499
486513,455,40,-16507
486517,417,13,-16439
486521,334,-53,-16421
486525,328,-121,-16443
486529,332,-107,-16442
486533,294,-160,-16474
486537,322,-107,-16434
486542,284,-127,-16470
486546,307,-105,-16443
486550,340,-63,-16469
486554,379,-41,-16433
486558,380,20,-16425
486562,438,250,-16520
486566,434,41,-16387
486570,458,31,-16551
486573,541,14,-16378
486577,438,20,-16520
486581,467,37,-16440
486585,471,10,-16463
486589,497,-59,-16464
486593,447,-44,-16425
486597,404,-111,-16329
486601,369,-99,-16514
486605,343,-89,-16443
486609,335,-154,-16355
486613,225,-77,-16582
486617,261,-76,-16190
486621,200,37,-16531
486625,278,41,-16360
486629,270,14,-16292
486633,270,39,-16569
486637,300,-7,-16411
486641,375,34,-16443
486645,405,35,-16501
486649,461,-75,-16407
486653,458,-25,-16481
486657,548,-58,-16414
486661,532,-106,-16382
486665,502,-73,-16497
486669,523,-63,-16424
486673,498,-95,-16441
486677,452,-35,-16459
486681,453,-48,-16344
486685,432,6,-16537
486689,351,18,-16429
486693,354,-13,-16381
486697,304,27,-16569
486701,254,33,-16405
486704,202,-251,-16421
486709,219,-2,-16537
486712,223,-62,-16399
486716,280,-19,-16501
486720,244,-111,-16623
486725,259,-134,-16314
486729,299,-99,-16490
486733,421,-67,-16429
486737,398,-43,-16462
486741,444,-20,-16463
486745,442,-5,-16491
486749,522,-30,-16418
486752,563,62,-16485
486756,565,-42,-16406
486760,530,49,-16494
486764,474,-4,-16500
486768,482,15,-16397
486772,465,-38,-16477
486776,399,-55,-16321
486780,332,-14,-16658
486784,291,-26,-16580
486788,309,-10,-16354
486792,237,-54,-16699
486796,230,-54,-16332
486800,189,-37,-16411
486804,219,-79,-16630
486808,240,-25,-16265
486812,283,-54,-16522
486816,320,-57,-16553
486820,377,-83,-16349
486824,467,-19,-16415
486828,502,-26,-16538
486832,554,-34,-16349
486836,560,32,-16451
486840,549,-7,-16521
486844,631,10,-16448
486848,554,22,-16416
486852,535,38,-16545
486856,459,10,-16417
486860,426,-252,-16570
486864,416,-20,-16400
486868,360,-64,-16375
486872,294,-11,-16504
486876,209,-96,-16621
486880,282,-103,-16262
486884,167,-76,-16659
486888,163,-113,-16457
486892,146,-65,-16398
486896,211,-76,-16527
486900,487,-50,-16452
486904,361,-3,-16354
486908,330,21,-16474
486912,358,31,-16472
486916,512,6,-16401
486920,516,56,-16573
486923,504,-31,-16327
486927,557,20,-16499
486931,552,-80,-16380
486935,572,-38,-16477
486939,580,-72,-16575
486943,542,-93,-16359
486947,419,-90,-16394
486952,472,-63,-16526
486956,388,-112,-16370
486960,329,-31,-16506
486964,282,-34,-16431
486968,304,5,-16445
486971,284,11,-16522
486975,229,-1,-16417
486979,267,56,-16364
486983,252,7,-16538
486987,272,19,-16556
486991,289,-7,-16302
486995,294,-38,-16544
486999,344,-75,-16439
487003,403,-37,-16344
487007,426,-69,-16528
487011,358,-101,-16438
487015,588,-99,-16350
487019,525,-65,-16490
487023,495,-30,-16402
487027,580,-2,-16461
487031,504,-26,-16583
487035,514,2,-16324
487039,493,12,-16424
487043,429,47,-16457
487047,382,48,-16396
487051,329,37,-16519
487054,297,245,-16340
487058,253,6,-16488
487062,276,-51,-16397
487066,256,-106,-16456
487070,253,-73,-16467
487074,244,-118,-16421
487079,307,-148,-16469
487083,338,-71,-16471
487087,335,-87,-16392
487091,360,-90,-16471
487095,387,-35,-16442
487099,416,-83,-16427
487103,437,25,-16537
487107,426,55,-16383
487111,496,115,-16477
487115,477,78,-16433
487118,488,46,-16473
487122,446,66,-16457
487126,427,11,-16407
487130,352,-52,-16424
487134,361,-4,-16497
487138,312,-63,-16371
487142,308,-98,-16282
487146,274,-75,-16588
487150,284,-87,-16318
487154,306,-82,-16497
487158,276,-103,-16423
487162,355,-42,-16478
487166,353,-59,-16430
487170,394,-32,-16512
487174,422,-43,-16388
487178,487,23,-16532
487182,492,23,-16422
487186,471,49,-16439
487190,526,36,-16518
487194,399,-9,-16515
487198,458,2,-16356
487202,408,-14,-16554
487206,397,-74,-16310
487210,357,-14,-16510
487214,390,-60,-16420
487218,377,-33,-16302
487222,316,-42,-16585
487226,305,-89,-16515
487230,329,-36,-16356
487234,282,-42,-16537
487238,326,-84,-16508
487242,335,216,-16404
487246,330,-25,-16535
487250,383,-11,-16405
487254,331,-5,-16424
487258,327,-23,-16379
487262,360,22,-16575
487266,368,5,-16311
487269,425,1,-16498
487273,411,-17,-16507
487277,471,-44,-16416
487281,466,2,-16410
487285,429,-57,-16558
487289,491,-39,-16371
487293,441,-49,-16487
487297,414,-56,-16389
487301,434,-65,-16410
487305,395,-53,-16601
487309,377,-111,-16459
487313,356,-19,-16299
487317,300,5,-16438
487321,324,-94,-16415
487325,335,28,-16417
487329,340,16,-16533
487333,320,4,-16406
487337,325,15,-16339
487340,372,55,-16552
487344,402,44,-16418
487348,354,-16,-16414
487352,399,-40,-16476
487356,386,-27,-16430
487360,441,-76,-16592
487364,393,-45,-16345
487368,435,-82,-16478
487372,403,-71,-16402
487376,431,-84,-16441
487380,444,-62,-16413
487384,387,-15,-16519
487388,392,-61,-16465
487392,415,21,-16410
487396,399,10,-16534
487400,426,-21,-16409
487404,287,20,-16408
487408,301,-30,-16419
487412,318,8,-16414
487416,327,23,-16360
487420,351,-46,-16485
487424,263,-67,-16483
487428,372,-48,-16450
487432,397,-104,-16437
487436,332,-77,-16391
487440,359,-114,-16383
487444,481,-53,-16523
487448,329,-71,-16334
487452,402,1,-16396
487456,497,36,-16593
487460,387,20,-16308
487464,460,62,-16591
487467,454,-34,-16215
487471,483,59,-16174
487475,441,21,-16649
487479,368,-106,-16494
487483,329,-10,-16297
487487,370,-30,-16620
487492,292,-134,-16486
487496,322,-29,-16335
487500,301,-92,-16509
487504,312,-104,-16470
487508,283,-13,-16384
487512,294,-62,-16503
487516,299,11,-16461
487520,325,48,-16389
487523,388,-77,-16355
487527,362,-15,-16608
487531,381,-31,-16335
487535,422,-38,-16627
487539,400,7,-16294
487543,471,-34,-16344
487547,465,-77,-16468
487551,502,27,-16389
487555,479,-35,-16478
487559,510,-72,-16479
487563,510,-47,-16422
487567,469,-28,-16536
487571,378,12,-16288
487575,357,-45,-16436
487579,335,-73,-16569
487583,372,30,-16291
487587,336,-99,-16477
487591,242,38,-16486
487595,301,-150,-16311
487599,296,23,-16501
487603,258,-43,-16167
487607,328,-51,-16491
487611,278,27,-16371
487615,254,-19,-16440
487619,344,-54,-16413
487623,405,-53,-16509
487627,410,-43,-16481
487631,348,2,-16336
487635,545,-59,-16415
487639,467,32,-16514
487643,479,-92,-16380
487647,497,26,-16668
487651,424,-36,-16384
487655,459,4,-16268
487659,385,-8,-16713
487663,459,-1,-16197
487667,382,-28,-16240
487671,300,15,-16561
487674,331,5,-16466
487678,386,-37,-16376
487682,308,-136,-16519
487686,280,-89,-16416
487690,275,-82,-16397
487694,291,-152,-16481
487698,374,-61,-16590
487702,362,-98,-16260
487706,275,-122,-16583
487711,326,83,-16550
487714,440,-69,-16294
487718,427,77,-16617
487722,433,48,-16211
487726,406,42,-16529
487730,516,-17,-16624
487734,509,5,-16228
487738,409,-25,-16379
487742,421,-100,-16540
487746,454,-84,-16251
487750,427,-65,-16442
487754,462,-50,-16532
487758,301,36,-16187
487762,381,-134,-16628
487766,329,-99,-16370
487770,417,-5,-16525
487774,377,-73,-16389
487778,257,-33,-16451
487782,269,54,-16301
487786,334,-59,-16523
487790,355,56,-16563
487794,344,-41,-16251
487798,302,0,-16557
487802,276,-6,-16414
487806,359,-65,-16579
487810,459,-116,-16462
487814,336,-106,-16359
487818,388,-59,-16610
487822,488,-160,-16224
487826,446,54,-16626
487830,455,13,-16243
487834,360,48,-16122
487838,389,47,-16771
487842,479,45,-16650
487846,344,-64,-16157
487850,374,69,-16711
487853,322,-98,-16245
487857,358,-64,-16563
487862,402,-56,-16809
487866,391,-169,-16193
487870,339,-39,-16615
487874,335,-82,-16593
487878,355,-90,-16263
487882,428,102,-16645
487886,397,-20,-16489
487890,402,18,-16414
487894,350,61,-16525
487898,372,-33,-16450
487902,426,25,-16464
487905,397,6,-16441
487909,393,-55,-16509
487913,442,-49,-16557
487917,429,-122,-16332
487921,455,-112,-16688
487925,348,-98,-16374
487929,313,-167,-16498
487933,385,-104,-16421
487938,395,-141,-16305
487942,348,-57,-16565
487946,390,-16,-16296
487950,370,-38,-16292
487954,438,55,-16603
487958,386,44,-16417
487961,440,25,-16395
487965,370,103,-16543
487969,454,0,-16362
487973,441,23,-16492
487977,406,19,-16693
487981,452,-92,-16283
487985,407,-2,-16476
487989,375,-111,-16386
487993,469,-111,-16420
487997,373,-105,-16491
488001,388,-185,-16303
488005,403,-130,-16574
488009,399,-79,-16427
488013,407,-93,-16509
488017,385,-51,-16381
488021,305,13,-16443
488025,359,255,-16487
488029,264,108,-16471
488033,310,68,-16411
488037,301,44,-16516
488041,356,93,-16379
488045,290,43,-16451
488049,392,-13,-16498
488053,331,-17,-16410
488057,383,-88,-16435
488061,427,-74,-16567
488065,415,-181,-16330
488069,485,-141,-16562
488073,458,-138,-16405
488077,449,-137,-16483
488081,424,-25,-16435
488085,433,-51,-16494
488089,403,223,-16319
488093,405,63,-16473
488097,360,30,-16398
488101,336,55,-16491
488105,337,30,-16602
488109,314,23,-16392
488113,287,8,-16514
488117,271,-45,-16466
488121,342,-60,-16320
488125,267,-111,-16369
488129,302,-73,-16527
488133,430,-84,-16374
488137,439,-98,-16476
488141,400,-90,-16475
488145,442,-82,-16620
488149,496,-95,-16599
488153,457,-4,-16277
488157,398,6,-16413
488161,409,67,-16504
488165,411,53,-16305
488169,399,77,-16556
488173,376,92,-16361
488177,346,59,-16338
488181,328,66,-16482
488185,355,-94,-16423
488189,343,-61,-16508
488193,332,-156,-16368
488197,344,-116,-16402
488201,367,-174,-16435
488205,381,-126,-16450
488209,385,-119,-16410
488213,387,-32,-16524
488217,378,-8,-16373
488221,386,36,-16462
488225,456,80,-16412
488229,444,65,-16484
488233,416,108,-16412
488237,392,101,-16448
488241,429,50,-16507
488245,400,39,-16387
488248,401,-1,-16421
488252,332,-86,-16490
488256,371,-107,-16394
488260,375,-163,-16416
488265,339,-184,-16526
488269,339,-200,-16346
488273,319,-141,-16417
488277,318,-117,-16480
488281,340,-66,-16386
488285,343,-23,-16467
488289,337,29,-16492
488293,360,90,-16408
488297,396,85,-16451
488301,415,88,-16483
488305,437,79,-16383
488309,421,78,-16490
488313,466,-21,-16555
488317,439,-61,-16315
488321,455,-55,-16558
488325,425,-160,-16492
488329,440,-96,-16377
488333,415,-158,-16558
488337,387,-101,-16583
488341,381,-78,-16308
488345,334,-50,-16599
488349,356,-44,-16409
488353,325,-7,-16437
488357,272,28,-16544
488361,281,66,-16371
488365,302,65,-16488
488369,312,37,-16560
488373,342,15,-16356
488376,393,16,-16404
488380,396,-36,-16534
488384,410,-43,-16362
488388,438,-49,-16504
488392,458,-74,-16374
488396,451,-91,-16394
488400,429,-97,-16459
488404,460,-130,-16460
488408,466,-53,-16374
488412,440,-75,-16544
488416,427,-48,-16346
488421,400,29,-16417
488424,368,13,-16487
488428,379,76,-16433
488432,357,26,-16425
488436,327,68,-16487
488440,296,-13,-16427
488444,305,12,-16414
488448,312,-47,-16463
488452,307,-47,-16394
488456,327,-95,-16496
488460,347,-96,-16485
488464,341,-109,-16397
488468,399,-106,-16475
488472,404,-74,-16361
488476,442,-63,-16488
488480,419,-73,-16455
488484,452,-51,-16427
488488,472,30,-16448
488492,433,-1,-16392
488496,429,30,-16467
488500,434,41,-16375
488504,441,41,-16508
488508,419,23,-16411
488512,382,31,-16513
488516,356,29,-16431
488520,336,-35,-16447
488524,309,-68,-16429
488528,324,-57,-16473
488532,305,-122,-16480
488536,320,-82,-16379
488540,377,-110,-16475
488544,355,-74,-16386
488548,339,-65,-16451
488552,368,-68,-16457
488556,369,-44,-16436
488560,417,25,-16456
488564,405,24,-16522
488568,413,42,-16389
488572,474,70,-16632
488576,466,-14,-16557
488580,439,40,-16296
488583,396,-33,-16420
488587,412,-18,-16540
488591,411,-77,-16333
488595,425,-40,-16524
488599,374,-79,-16429
488604,389,-66,-16371
488607,368,-72,-16479
488611,363,-52,-16417
488615,336,-64,-16252
488620,364,-38,-16624
488623,298,-45,-16297
488627,337,-4,-16480
488631,367,46,-16431
488635,356,-39,-16311
488639,374,20,-16544
488643,371,-12,-16393
488647,379,-18,-16379
488651,447,-18,-16500
488655,392,-31,-16295
488659,384,-81,-16605
488663,366,-36,-16261
488667,454,-137,-16336
488671,421,-36,-16584
488675,386,-145,-16271
488680,415,27,-16495
488683,358,-58,-16478
488687,433,-3,-16360
488691,370,-2,-16351
488695,323,47,-16588
488699,370,-64,-16329
488703,385,64,-16444
488707,373,-44,-16597
488711,394,-8,-16306
488715,375,-58,-16580
488719,340,-38,-16557
488723,381,-221,-16408
488727,384,4,-16422
488731,488,-57,-16010
488735,299,-24,-16721
488739,335,-77,-16556
488743,416,-95,-16246
488747,473,-21,-16908
488751,338,-76,-16671
488755,376,10,-16041
488759,389,-47,-16745
488763,436,-53,-16308
488767,480,-62,-16661
488771,407,-14,-16571
488775,308,-45,-16457
488779,333,93,-16434
488783,356,-64,-16259
488787,511,43,-16522
488791,382,58,-16493
488795,223,-102,-16476
488799,502,-105,-16428
488803,420,-34,-16279
488807,309,-79,-16763
488811,363,-102,-16035
488815,261,6,-16303
488819,418,-110,-16582
488823,327,30,-16214
488827,324,41,-16546
488831,274,-22,-16528
488835,435,100,-16369
488839,371,-62,-16378
488843,341,-29,-16585
488847,364,-23,-16075
488851,387,-90,-16763
488855,419,-3,-16504
488859,427,-120,-16470
488863,392,-55,-16459
488867,388,-97,-16524
488871,466,-29,-16489
488875,451,-54,-16284
488879,392,-22,-16073
